Example	Total Latency (s)
.git	0
A_Vision_Transformer_without_Attention	297.63926672935486
Barlow_Twins_for_Contrastive_SSL	0.030824899673461914
Class_Attention_Image_Transformers_with_LayerScale	1271.7871611118317
Classification_using_Attention-based_Deep_Multiple_Instance_Learning	47.718515396118164
Compact_Convolutional_Transformers	731.649852514267
Convolutional_autoencoder_for_image_denoising	4427.9856786727905
CutMix_data_augmentation_for_image_classification	2120.190529823303
Distilling_Vision_Transformers	4.991748571395874
Few-Shot_learning_with_Reptile	1872.5805304050446
FixRes_Fixing_train-test_resolution_discrepancy	14888.610684156418
Grad-CAM_class_activation_visualization	55485.71222805977
Gradient_Centralization_for_Better_Training_Performance	209.5383744239807
Image_Captioning	2.644658327102661
Image_Classification_using_BigTransfer_(BiT)	326.19470977783203
Image_Super_Resolution_using_an_Efficient_Sub_Pixel_CNN	331.5624361038208
